last,delete_last
-9136,1
0,1
00,1
000,1
0000,1
00000,1
7,1
9,1
00048,1
90,1
91,1
900,1
913,1
01042,1
01316,1
9000,1
9001,1
9003,1
9004,1
9007,1
9011,1
9016,1
9035,1
9066,1
9100,1
9130,1
9134,1
9140,1
9165,1
9352,1
9406,1
19011,1
33021,1
60064,1
60066,1
70731,1
81050,1
81340,1
81359,1
82044,1
88888,1
90000,
90001,
90002,
90003,
90004,
90005,
90006,
90007,
90008,
90009,
90010,
90011,
90012,
90013,
90014,
90015,
90016,
90017,
90018,
90019,
90020,
90021,
90022,
90023,
90024,
90025,
90026,
90027,
90028,
90029,
90030,
90031,
90032,
90033,
90034,
90035,
90036,
90037,
90038,
90039,
90041,
90042,
90043,
90044,
90045,
90046,
90047,
90048,
90049,
90054,
90056,
90057,
90058,
90059,
90061,
90062,
90063,
90064,
90065,
90066,
90067,
90068,
90069,
90071,
90077,
90094,
90125,
90170,
90201,
90203,
90211,
90214,
90221,
90230,
90232,
90241,
90247,
90248,
90249,
90261,
90264,
90272,
90291,
90292,
90293,
90299,
90301,
90302,
90303,
90304,
90305,
90401,
90404,
90405,
90501,
90502,
90602,
90605,
90606,
90640,
90660,
90710,
90716,
90717,
90731,
90732,
90733,
90744,
90745,
90759,
90803,
90810,
90921,
91030,
91040,
91041,
91042,
91046,
91061,
91065,
91145,
91208,
91214,
91256,
91292,
91302,
91303,
91304,
91305,
91306,
91307,
91311,
91316,
91324,
91325,
91326,
91331,
91333,
91334,
91335,
91336,
91340,
91341,
91342,
91343,
91344,
91345,
91346,
91352,
91355,
91356,
91360,
91362,
91364,
91365,
91366,
91367,
91401,
91402,
91403,
91404,
91405,
91406,
91411,
91417,
91423,
91435,
91436,
91442,
91450,
91462,
91491,
91502,
91505,
91532,
91601,
91602,
91604,
91605,
91606,
91607,
91635,
91660,
91702,
91706,
91725,
91766,
92001,
92342,
92352,
92841,
94352,
95321,
96543,
98041,
-,1
..,1
())12,1
*,1
****,1
0-000,1
481-H,1
500-E,1
671-G,1
9004`,1
900xx,1
Angeles,
NA,1
NA,1
oooo,1
Stagg,
TBD,1
x,1
xx,1
XXX,1
xxx,1
XXXX,1
,1
angeles,
CA,